event_id,timestamp_start,timestamp_end,event_type,road_id,location_description,severity,duration_minutes,affected_lanes,response_team_dispatched,response_time_min,casualties,description,cause,weather_condition,road_name,road_type,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,surface_condition,last_maintenance_date,latitude_start,longitude_start,latitude_end,longitude_end,district,toll_rate_rp,avg_daily_traffic
EVT-00001,2024-02-20 16:06:00,2024-02-20 18:43:00,Kendaraan Mogok,RD-0181,Jl. Sudirman - Bundaran HI,Major,157,4,1,35,0,Kecelakaan tabrakan belakang,Kecelakaan tunggal,Hujan Lebat,Jl. Segment 181,Jalan Kolektor,3.0,4,60,3360,0,1,Cukup,2024-01-03,-6.17765,106.918379,-6.168092,106.928854,Cakung,0,5247
EVT-00002,2024-02-07 16:35:00,2024-02-07 19:35:00,Pohon Tumbang,RD-0109,Jl. HR Rasuna Said - Casablanca,Major,180,4,1,27,0,Kecelakaan beruntun,Pemasangan marka jalan,Hujan Sedang,Jl. Segment 109,Jalan Kolektor,2.0,2,50,1616,0,0,Baik,2023-07-17,-6.273665,106.951304,-6.265464,106.966282,PIK,0,1694
EVT-00003,2024-02-27 07:40:00,2024-02-27 12:18:00,Acara Khusus,RD-0123,Jl. Rasuna Said - Setiabudi,Moderate,278,1,1,45,0,Drainase tersumbat,Bahan berbahaya tumpah,Hujan Sedang,Jl. Segment 123,Jalan Lingkungan,2.9,1,20,482,0,1,Cukup,2022-10-07,-6.123726,106.96898,-6.116991,106.952577,Sunter,0,697
EVT-00004,2024-02-23 16:32:00,2024-02-23 19:39:00,Kemacetan Parah,RD-0157,Jl. KS Tubun - Slipi,Moderate,187,1,1,17,0,Bahan berbahaya tumpah,Konvoi kendaraan resmi,Berawan,Jl. Segment 157,Jalan Lingkungan,2.0,1,40,671,0,0,Baik,2022-05-29,-6.332067,106.899775,-6.340955,106.881408,Blok M,0,1026
EVT-00005,2024-03-10 16:10:00,2024-03-10 21:47:00,Pohon Tumbang,RD-0133,Jl. Jend. Sudirman - Semanggi,Moderate,337,1,1,15,0,Festival jalanan,Insiden struktur jalan,Hujan Ringan,Jl. Segment 133,Jalan Arteri,9.2,6,60,10752,1,1,Baik,2024-03-02,-6.17707,106.779685,-6.180622,106.785218,Senen,0,12774
EVT-00006,2024-02-17 06:53:00,2024-02-17 09:33:00,Konvoi,RD-0137,Jl. Jend. Sudirman - Semanggi,Critical,160,3,1,13,0,Kendaraan mogok di jalan,Kecelakaan tunggal,Hujan Lebat,Jl. Segment 137,Jalan Lingkungan,2.1,1,40,444,0,0,Baik,2023-09-14,-6.240589,106.743749,-6.227502,106.751237,Bekasi,0,532
EVT-00007,2024-01-28 08:41:00,2024-01-28 14:12:00,Jalan Ditutup,RD-0012,Jl. Hayam Wuruk - Harmoni,Critical,331,2,1,12,0,Curah hujan tinggi,Kecelakaan beruntun,Hujan Lebat,Jl. Segment 12,Jalan Tol,14.0,8,100,13600,1,0,Cukup,2022-10-26,-6.269852,106.777147,-6.275032,106.762697,Pluit,5000,9918
EVT-00008,2024-02-04 10:52:00,2024-02-04 13:34:00,Kecelakaan,RD-0100,Jl. MT Haryono - Cawang,Moderate,162,4,0,0,0,Kecelakaan tunggal,Insiden struktur jalan,Berawan,Jl. Segment 100,Jalan Kolektor,2.6,4,50,4304,0,0,Baik,2023-04-29,-6.118532,106.874538,-6.123287,106.888525,Menteng,0,8935
EVT-00009,2024-02-14 09:47:00,2024-02-14 10:17:00,Kendaraan Mogok,RD-0109,Jl. Casablanca - Kampung Melayu,Major,30,4,1,37,0,Pemasangan marka jalan,Konvoi kendaraan resmi,Hujan Ringan,Jl. Segment 109,Jalan Kolektor,2.0,2,50,1616,0,0,Baik,2023-07-17,-6.273665,106.951304,-6.265464,106.966282,PIK,0,1694
EVT-00010,2024-02-03 13:25:00,2024-02-03 14:02:00,Protes/Unjuk Rasa,RD-0087,Jl. Jend. Gatot Subroto - Slipi,Major,37,1,1,8,0,Pemasangan marka jalan,Kecelakaan tunggal,Hujan Ringan,Jl. Segment 87,Jalan Lokal,2.8,1,40,432,0,1,Baik,2024-02-03,-6.29308,106.848848,-6.28077,106.843065,Sudirman,0,727
